,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Cold,Warm Average Spender,Warm Big Spender,Active Average Spender,Active Guest Big Spender,Active Recurring Big Spender,Total,,
,,,Cold,541,54,26,157,60,10,848,,
,,,Warm Average Spender,320,77,10,252,26,16,701,,
,,,Warm Big Spender,131,5,52,18,63,41,310,,
,,,Active Average Spender,0,257,7,411,9,34,718,,
,,,Active Guest Big Spender,0,7,156,24,59,53,299,,
,,,Active Recurring Big Spender,0,2,24,10,0,160,196,,
,,,Total,992,402,275,872,217,314,3072,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,"Cold
a.k.a The Jacks (from Titanic)",,,,
,,,,,"Active Guest Big Spender
a.k.a The Haileys Comets",,,,,,,
,,,,"Active Recurring Big Spender
a.k.a The Golden Apples",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
